"nid","Sequence","Judge.Name","Other.Nominations.Recess.Appointments"
1393681,1,"Dalton, Roy Bale, Jr.","Nominated to U.S. District Court for the Middle District of Florida, November 17, 2010; no Senate vote"
13761531,1,"Damian, Melissa","Nominated to U.S. District Court for the Southern District of Florida, November 6, 2023; no Senate vote"
1379761,1,"Darr, Leslie Rogers","Nominated to the U.S. District Courts for the Eastern and Middle Districts of Tennessee, May 17, 1939; nomination withdrawn by president, May 24, 1939"
1393741,1,"Darrow, Sara Lynn","Nominated to U.S. District Court for the Central District of Illinois, November 17, 2010; no Senate vote"
1379766,1,"Daugherty, Frederick Alvin","Nominated to U.S. District Courts for the Eastern, Northern and Western Districts of Oklahoma, September 23, 1961; no Senate vote"
1393616,1,"Davila, Edward John","Nominated to U.S. District Court for the Northern District of California, May 20, 2010; no Senate vote"
1379806,1,"Davis, Andre Maurice","Nominated to U.S. Court of Appeals for the Fourth Circuit, October 6, 2000; no Senate vote"
1394341,1,"Davis, Brian Jordan","Nominated to U.S. District Court for the Middle District of Florida, February 29, 2012; no Senate vote"
1379841,1,"Davis, John Morgan","Nominated to U.S. District Court for the Eastern District of Pennsylvania, September 3, 1963; no Senate vote"
1391481,1,"Davis, Legrome D.","Nominated to U.S. District Court for the Eastern District of Pennsylvania, July 30, 1998; no Senate vote"
1391481,2,"Davis, Legrome D.","Nominated to U.S. District Court for the Eastern District of Pennsylvania, January 26, 1999; no Senate vote"
1391531,1,"Davis, Leonard E.","Nominated to U.S. District Court for the Eastern District of Texas, June 3, 1992; no Senate vote"
1379896,1,"Day, William Rufus","Received recess appointment to U.S. District Court for the Northern District of Ohio, May 24, 1889; declined appointment"
1393431,1,"De Vries, Marion","Nominated to U.S. Court of Customs Appeals (later U.S. Court of Customs and Patent Appeals), January 5, 1910; nomination withdrawn by president, February 22, 1910"
1394816,1,"DeArcy Hall, LaShann Moutique","Nominated to U.S. District Court for the Eastern District of New York, November 12, 2014; no Senate vote"
1394366,1,"Delgado Hernández, Pedro Alberto","Nominated to U.S. District Court for the District of Puerto Rico, June 26, 2013; no Senate vote"
1379981,1,"Dennis, James L.","Nominated to U.S. Court of Appeals for the Fifth Circuit, June 8, 1994; no Senate vote"
1392266,1,"Dever, James C. III","Nominated to U.S. District Court for the Eastern District of North Carolina, May 22, 2002; no Senate vote"
