"nid","Sequence","Judge.Name","School","Degree","Degree.Year"
1391061,2,"Cooper, Florence-Marie","Whittier College School of Law","J.D.","1975"
1379486,1,"Cooper, Frank","Union College","A.B.","1893"
1379486,2,"Cooper, Frank","Read law","","1895"
1379486,3,"Cooper, Frank","Union College","A.M.","1896"
1379491,1,"Cooper, Irving Ben","Washington University School of Law","LL.B.","1925"
1386061,1,"Cooper, Mary Little","Bryn Mawr College","A.B.","1968"
1386061,2,"Cooper, Mary Little","Villanova University School of Law","J.D.","1972"
1379496,1,"Copenhaver, John Thomas, Jr.","West Virginia University","A.B.","1947"
1379496,2,"Copenhaver, John Thomas, Jr.","West Virginia University College of Law","LL.B.","1950"
1379501,1,"Copple, William Perry","Long Beach Junior College (now Long Beach City College)","A.A.","1934"
1379501,2,"Copple, William Perry","University of California, Berkeley","B.A.","1948"
1379501,3,"Copple, William Perry","University of California, Berkeley, School of Law","J.D.","1951"
1379506,1,"Corcoran, Howard Francis","Princeton University","A.B.","1928"
1379506,2,"Corcoran, Howard Francis","Harvard Law School","LL.B.","1931"
1379511,1,"Cordova, Valdemar Aguirre","University of Arizona College of Law (now James E. Rogers College of Law)","J.D.","1950"
6770606,1,"Corker, Clifton Leland","James Madison University","B.B.A.","1990"
6770606,2,"Corker, Clifton Leland","William and Mary Law School","J.D.","1993"
11662361,1,"Corley, Jacqueline Scott","University of California, Berkeley","B.A.","1988"
11662361,2,"Corley, Jacqueline Scott","Harvard Law School","J.D.","1991"
1391596,1,"Corrigan, Timothy J.","University of Notre Dame","B.A.","1978"
1391596,2,"Corrigan, Timothy J.","Duke University School of Law","J.D.","1981"
1379516,1,"Cosgrave, George","Read law","","1895"
1393961,1,"Costa, Gregg Jeffrey","Dartmouth College","B.A.","1994"
1393961,2,"Costa, Gregg Jeffrey","University of Texas School of Law","J.D.","1999"
1379521,1,"Costantino, Mark Americus","Brooklyn Law School","LL.B.","1947"
13761866,1,"Costello, Mary Kathleen","Temple University","B.A.","1998"
13761866,2,"Costello, Mary Kathleen","Temple University James E. Beasley School of Law","J.D.","2001"
1379526,1,"Cote, Denise","St. Mary's College, Notre Dame, Indiana","B.A.","1968"
1379526,2,"Cote, Denise","Columbia University","M.A.","1969"
1379526,3,"Cote, Denise","Columbia Law School","J.D.","1975"
1379531,1,"Cotteral, John Hazelton","University of Michigan",""," "
1379531,2,"Cotteral, John Hazelton","Read law","","1885"
1379536,1,"Coughenour, John C.","Kansas State College of Pittsburg (now Pittsburg State University)","B.S.","1963"
1379536,2,"Coughenour, John C.","University of Iowa College of Law","J.D.","1966"
4028221,1,"Counts, Walter David III","Texas Tech University","B.A.","1983"
4028221,2,"Counts, Walter David III","St. Mary's University School of Law, Texas","J.D.","1986"
13761867,1,"Court, Michelle Williams","Pomona College","B.A.","1988"
13761867,2,"Court, Michelle Williams","Loyola Law School, Los Angeles, California","J.D.","1993"
1379541,1,"Covello, Alfred V.","Harvard University","A.B.","1954"
1379541,2,"Covello, Alfred V.","University of Connecticut School of Law","J.D., LL.B.","1960"
1379546,1,"Covington, James Harry","University of Pennsylvania Law School (now Carey Law School)","LL.B.","1894"
1392221,1,"Covington, Virginia Maria Hernandez","University of Tampa","B.S.","1976"
1392221,2,"Covington, Virginia Maria Hernandez","University of Tampa","M.B.A.","1977"
1392221,3,"Covington, Virginia Maria Hernandez","Georgetown University Law Center","J.D.","1980"
1379551,1,"Cowan, Finis E.","Rice Institute (now Rice University)","B.A.","1951"
1379551,2,"Cowan, Finis E.","University of Texas School of Law","LL.B.","1956"
1390351,1,"Cowen, Arnold Wilson","University of Texas School of Law","LL.B.","1928"
1379556,1,"Cowen, Robert E.","Drake University","B.S.","1952"
1379556,2,"Cowen, Robert E.","Rutgers School of Law -- Newark","LL.B.","1958"
1379561,1,"Cox, Elijah Allen","Vanderbilt University","B.A.","1909"
1379561,2,"Cox, Elijah Allen","Read law","","1911"
1379566,1,"Cox, Emmett Ripley","University of Alabama","A.B.","1957"
1379566,2,"Cox, Emmett Ripley","University of Alabama School of Law","LL.B.","1959"
1379571,1,"Cox, Joseph Winston","Columbian University School of Law (now George Washington University Law School)","LL.B.","1901"
1379576,1,"Cox, Owen DeVol","University of Kansas","B.A.","1931"
1379576,2,"Cox, Owen DeVol","University of Kansas School of Law","LL.B.","1932"
1392421,1,"Cox, Sean Francis","University of Michigan","B.G.S.","1979"
1392421,2,"Cox, Sean Francis","Detroit College of Law (now Michigan State University College of Law)","J.D.","1983"
1379581,1,"Cox, Walter Smith","Georgetown College (now Georgetown University)","B.A.","1843"
1379581,2,"Cox, Walter Smith","Georgetown College (now Georgetown University)","M.A.","1844"
1379581,3,"Cox, Walter Smith","Harvard Law School","LL.B.","1847"
1379586,1,"Cox, William Harold","University of Mississippi","B.S.","1924"
1379586,2,"Cox, William Harold","University of Mississippi School of Law","LL.B.","1924"
1379596,1,"Coxe, Alfred Conkling, Jr.","Cornell Law School",""," "
1379596,2,"Coxe, Alfred Conkling, Jr.","Yale University","A.B.","1901"
1379591,1,"Coxe, Alfred Conkling, Sr.","Read law","","1868"
1379601,1,"Coyle, Robert Everett","Fresno State College (now California State University, Fresno)","A.B.","1953"
1379601,2,"Coyle, Robert Everett","University of California Hastings College of the Law (now UC College of the Law, San Francisco)","J.D.","1956"
1379606,1,"Crabb, Barbara Brandriff","University of Wisconsin","B.A.","1960"
1379606,2,"Crabb, Barbara Brandriff","University of Wisconsin Law School","LL.B.","1962"
1394441,1,"Crabtree, Daniel Dale","Ottawa University","B.A.","1978"
1394441,2,"Crabtree, Daniel Dale","University of Kansas School of Law","J.D.","1981"
1379611,1,"Craig, Walter Early","Stanford University","B.A.","1931"
1379611,2,"Craig, Walter Early","Stanford Law School","J.D.","1934"
1390901,1,"Cranch, William","Harvard College","","1787"
1390901,2,"Cranch, William","Read law","","1790"
1391466,1,"Crane, Randy","University of Texas","B.A.","1985"
1391466,2,"Crane, Randy","University of Texas School of Law","J.D.","1987"
1379616,1,"Crary, Elisha Avery","University of Southern California","B.A.","1929"
1379616,2,"Crary, Elisha Avery","University of Southern California Law School (now Gould School of Law)","J.D.","1929"
1379621,1,"Craven, James Braxton, Jr.","Duke University","A.B.","1939"
1379621,2,"Craven, James Braxton, Jr.","Harvard Law School","LL.B.","1942"
1394596,1,"Crawford, Geoffrey William","Yale University","B.A.","1977"
1394596,2,"Crawford, Geoffrey William","Harvard Law School","J.D.","1980"
1379626,1,"Crawford, William","Read law",""," "
1379626,2,"Crawford, William","Hampden-Sydney College",""," "
1390381,1,"Creighton, William, Jr.","Dickinson College","","1795"
1390381,2,"Creighton, William, Jr.","Read law","","1798"
1394846,1,"Crenshaw, Waverly David, Jr.","Vanderbilt University","B.A.","1978"
1394846,2,"Crenshaw, Waverly David, Jr.","Vanderbilt University Law School","J.D.","1981"
13761441,1,"Crews, S. Kato","University of Northern Colorado","B.A.","1997"
13761441,2,"Crews, S. Kato","University of Arizona James E. Rogers College of Law","J.D.","2000"
1379631,1,"Croake, Thomas Francis","Albany Law School","LL.B.","1925"
1379636,1,"Crocker, Myron Donovan","Fresno State College (now California State University, Fresno)","A.B.","1937"
1379636,2,"Crocker, Myron Donovan","University of California, Berkeley, School of Jurisprudence","LL.B.","1940"
8695161,1,"Cronan, John Peter","Georgetown University","B.A.","1998"
8695161,2,"Cronan, John Peter","Yale Law School","J.D.","2001"
1392021,1,"Crone, Marcia A.","University of Texas","B.A.","1973"
1392021,2,"Crone, Marcia A.","University of Houston Law Center","J.D.","1978"
1379641,1,"Cross, Joseph","Columbia Law School",""," "
1379641,2,"Cross, Joseph","College of New Jersey (now Princeton University)","A.B.","1865"
1379641,3,"Cross, Joseph","Read law","","1868"
1379641,4,"Cross, Joseph","College of New Jersey (now Princeton University)","A.M.","1868"
1392251,1,"Crotty, Paul Austin","University of Notre Dame","B.A.","1962"
1392251,2,"Crotty, Paul Austin","Cornell Law School","LL.B.","1967"
9214156,1,"Crouse, Toby Jon","Kansas State University","B.S.","1997"
